County	Cases
Abbeville.	366
Aiken.	2155
Allendale.	255
Anderson.	2667
what about Marion.	592
what about Marlboro.	590
what about McCormick.	147
maximum cases of covid 19 in which county.	charleston 12956
Bamberg.	493
count of Beaufort.	4397
count of Berkeley.	4489
count of Calhoun.	396
What is the status of Chester.	758
Tell me covid-19 cases of Greenville.	11327
Tell me covid-19 cases of Greenwood.	1571
Tell me covid-19 cases of Hampton.	482
Tell me covid-19 cases of Cherokee.	728
Tell me covid-19 cases of Chester.	758
cases in Marion.	592
cases in Marlboro.	590
cases in McCormick.	147
Tell me covid-19 cases of Horry.	8926
Tell me covid-19 cases of Jasper.	641
Tell me covid-19 cases of Kershaw.	1457
Tell me covid-19 cases of Lancaster.	1405
Ssup man!! Give me status of Chesterfield covid-19 cases.	841
Ssup man!! Give me status of Clarendon covid-19 cases.	911
Tell me covid-19 cases of Laurens.	1386
Tell me covid-19 cases of Lee.	588
Tell me covid-19 cases of Lexington.	5277
Tell me covid-19 cases of Marion.	592
Barnwell.	469
Beaufort.	4397
Berkeley.	4489
Calhoun.	396
Charleston.	12956
Hampton.	482
Horry.	8926
Jasper.	641
Kershaw.	1457
Lancaster.	1405
Laurens.	1386
Lee.	588
Lexington.	5277
Marion.	592
Marlboro.	590
McCormick.	147
Newberry.	901
Oconee.	890
cases in Bamberg.	493
cases in Barnwell.	469
cases in Beaufort.	4397
cases in Berkeley.	4489
Orangeburg.	2611
Pickens.	1942
Richland.	9468
Saluda.	494
cases in Calhoun.	396
cases in Charleston.	12956
cases in Cherokee.	728
cases in Chester.	758
cases in Chesterfield.	841
cases in Clarendon.	911
Cherokee.	728
Georgetown.	1556
Greenville.	11327
Greenwood.	1571
cases in Colleton.	852
cases in Darlington.	1463
cases in Dillon.	684
cases in Dorchester.	3300
cases in Edgefield.	371
Chester.	758
Chesterfield.	841
Clarendon.	911
Colleton.	852
Darlington.	1463
Dillon.	684
Dorchester.	3300
Edgefield.	371
Fairfield.	589
Florence.	3816
cases in Fairfield.	589
cases in Florence.	3816
cases in Georgetown.	1556
Spartanburg.	4469
Sumter.	2648
Union.	407
Williamsburg.	1093
York.	3848
cases in Kershaw.	1457
cases in Abbeville.	366
cases in Aiken.	2155
cases in Allendale.	255
cases in Anderson.	2667
cases in Greenville.	11327
cases in Greenwood.	1571
cases in Hampton.	482
cases in Horry.	8926
cases in Jasper.	641
cases in Kershaw.	1457
cases in Lancaster.	1405
cases in Laurens.	1386
cases in Lee.	588
cases in Lexington.	5277
Tell me covid-19 cases of Bamberg.	493
Tell me covid-19 cases of Barnwell.	469
Tell me covid-19 cases of Beaufort.	4397
Tell me covid-19 cases of Berkeley.	4489
Tell me covid-19 cases of Calhoun.	396
Tell me covid-19 cases of Charleston.	12956
cases in Newberry.	901
cases in Oconee.	890
cases in Orangeburg.	2611
cases in Pickens.	1942
cases in Richland.	9468
cases in Saluda.	494
cases in Spartanburg.	4469
cases in Sumter.	2648
cases in Union.	407
cases in Williamsburg.	1093
cases in York.	3848
Tell me covid-19 cases of Lancaster.	1405
Tell me covid-19 cases of Abbeville.	366
Tell me covid-19 cases of Aiken.	2155
Tell me covid-19 cases of Allendale.	255
Tell me covid-19 cases of Anderson.	2667
Tell me covid-19 cases of Chesterfield.	841
Tell me covid-19 cases of Clarendon.	911
highest number of pandemic count is in county of	charleston 12956
Tell me covid-19 cases of Colleton.	852
Tell me covid-19 cases of Darlington.	1463
Tell me covid-19 cases of Dillon.	684
Tell me covid-19 cases of Dorchester.	3300
Tell me covid-19 cases of Edgefield.	371
Tell me covid-19 cases of Saluda.	494
Tell me covid-19 cases of Spartanburg.	4469
Tell me covid-19 cases of Sumter.	2648
Tell me covid-19 cases of Union.	407
Tell me covid-19 cases of Williamsburg.	1093
Tell me covid-19 cases of York.	3848
count of Laurens.	1386
count of Abbeville.	366
count of Aiken.	2155
count of Allendale.	255
where is the highest cases of covid.	charleston 12956
count of Anderson.	2667
count of Bamberg.	493
count of Barnwell.	469
What is the status of Chesterfield.	841
What is the status of Clarendon.	911
What is the status of Colleton.	852
What is the status of Darlington.	1463
What is the status of Dillon.	684
highest cases	charleston 12956
What is the status of Dorchester.	3300
What is the status of Edgefield.	371
What is the status of Fairfield.	589
What is the status of Florence.	3816
What is the status of Georgetown.	1556
What is the status of Greenville.	11327
What is the status of Newberry.	901
count of Charleston.	12956
count of Cherokee.	728
count of Chester.	758
count of Chesterfield.	841
count of Clarendon.	911
count of Colleton.	852
count of Darlington.	1463
count of Dillon.	684
count of Dorchester.	3300
Tell me covid-19 cases of Fairfield.	589
Tell me covid-19 cases of Florence.	3816
Tell me covid-19 cases of Georgetown.	1556
Tell me covid-19 cases of Marlboro.	590
very less cases	McCormick
Tell me covid-19 cases of McCormick.	147
Tell me covid-19 cases of Newberry.	901
Tell me covid-19 cases of Oconee.	890
Tell me covid-19 cases of Orangeburg.	2611
Tell me covid-19 cases of Pickens.	1942
Tell me covid-19 cases of Richland.	9468
count of Edgefield.	371
count of Fairfield.	589
count of Florence.	3816
count of Georgetown.	1556
count of Greenville.	11327
count of Greenwood.	1571
count of Newberry.	901
count of Oconee.	890
low number of pandemic cases are.	McCormick
count of Orangeburg.	2611
count of Pickens.	1942
count of Richland.	9468
count of Saluda.	494
count of Spartanburg.	4469
count of Sumter.	2648
count of Union.	407
count of Williamsburg.	1093
count of York.	3848
What is the status of York?	3848
What is the status of Abbeville.	366
What is the status of Aiken.	2155
What is the status of Allendale.	255
What is the status of Anderson.	2667
What is the status of Bamberg.	493
What is the status of Barnwell.	469
count of Hampton.	482
count of Horry.	8926
count of Jasper.	641
count of Kershaw.	1457
count of Lancaster.	1405
count of Laurens.	1386
count of Lee.	588
count of Lexington.	5277
count of Marion.	592
count of Marlboro.	590
count of McCormick.	147
What is the status of Beaufort.	4397
What is the status of Berkeley.	4489
What is the status of Calhoun.	396
What is the status of Charleston.	12956
What is the status of Cherokee.	728
What is the status of Oconee.	890
What is the status of Orangeburg.	2611
What is the status of Pickens.	1942
What is the status of Richland.	9468
What is the status of Saluda.	494
What is the status of Spartanburg.	4469
What is the status of Sumter.	2648
What is the status of Union.	407
What is the status of Williamsburg.	1093
what about Marlboro.	590
what about Abbeville.	366
what about Aiken.	2155
what about Allendale.	255
what about Anderson.	2667
what about Bamberg.	493
what about Barnwell.	469
what about Beaufort.	4397
what about Berkeley.	4489
What is the status of Greenwood.	1571
What is the status of Hampton.	482
What is the status of Horry.	8926
What is the status of Jasper.	641
What is the status of Kershaw.	1457
What is the status of Lancaster.	1405
What is the status of Laurens.	1386
What is the status of Lee.	588
What is the status of Lexington.	5277
What is the status of Marion.	592
What is the status of Marlboro.	590
What is the status of McCormick.	147
what about Calhoun.	396
what about Charleston.	12956
what about Cherokee.	728
what about Chester.	758
what about Chesterfield.	841
what about Orangeburg.	2611
what about Pickens.	1942
what about Richland.	9468
what about Saluda.	494
what about Spartanburg.	4469
what about Sumter.	2648
